Titulo,Genero,Autor,Nacionalidad,Calificacion,Fecha_lectura,Año_publicacion,Paginas
Marina,Thriller,Carlos Ruiz Zafon,España,4,9/01/2022,1999,238
Indias blancas,Ficcion historica,Florencia Bonelli,Argentina,4,25/01/2022,2005,480
La vuelta del ranquel,Ficcion historica,Florencia Bonelli,Argentina,4,5/02/2022,2005,432
Las viudas de los jueves,Ficcion contemporanea,Claudia Piñeiro,Argentina,4,6/02/2022,2005,320
Billy Summers,Thriller,Stephen King,Estados Unidos,3,19/04/2022,2021,517
A fuego lento,Thriller,Paula Hawkins,Reino Unido,3,30/04/2022,2021,480
Una suerte pequeña,Ficcion contemporanea,Claudia Piñeiro,Argentina,4,7/05/2022,2015,271
Palabras cruzadas,Psicologia,Gabriel Rolon,Argentina,4,1/06/2022,2011,288
Las grietas de Jara,Ficcion contemporanea,Claudia Piñeiro,Argentina,4,1/06/2022,2009,256
El retrato de Dorian Gray,Ficcion gotica,Oscar Wilde,Irlanda,4,24/06/2022,1890,306
Tuya,Ficcion contemporanea,Claudia Piñeiro,Argentina,3,25/06/2022,2005,176
El extraño caso del Dr. Jekyll y Mr. Hyde,Ficcion gotica,Robert Louis Stevenson,Reino Unido,4,26/06/2022,1886,144
El viejo y el mar,Ficcion,Ernest Hemingway,Estados Unidos,2,3/07/2022,1952,147
1984,Distopia,George Orwell,India,3,3/08/2022,1949,298
To Paradise,Distopia,Hanya Yanagihara,Estados Unidos,3,21/08/2022,2022,720
Estoy pensando en dejarlo,Thriller psicologico,Iain Reid,Canada,4,28/11/2022,2016,208
Juego de tronos,Fantasia,George R.R. Martin,Estados Unidos,5,14/12/2022,1996,832
Cadaver exquisito,Distopia,Agustina Bazterrica,Argentina,3,21/12/2022,2017,249
El fantasma de Canterville,Ficcion gotica,Oscar Wilde,Irlanda,3,25/12/2022,1887,184
Elena Sabe,Ficcion contemporanea,Claudia Piñeiro,Argentina,4,08/01/2023,2007,173
Cronica de una muerte anunciada,Ficcion,Gabriel Garcia Marquez,Colombia,3,13/01/2023,1981,118
El tunel,Thriller psicologico,Ernesto Sabato,Argentina,3,15/01/2023,1948,158
El instinto,Thriller,Ashley  Audrain,Canada,4,21/01/2023,2021,328
El brillo de las luciernagas,Thriller,Paul Pen,España,4,31/01/2023,2013,368
Los dos amores de mi vida,Romance,Taylor Jenkins ReidAlex Michaelides,Estados Unidos,3,10/02/2023,2021,320
La paciente silenciosa,Thriller psicologico,Alex Michaelides,Chipre,3,21/02/2023,2019,384
Cancion dulce,Drama,Leïla Slimani,Marruecos,4,26/02/2023,2017,288
La felicidad conyugal,Ficcion,Leo Tolstoy,Rusia,4,09/03/2023,2012,176
La metamorfosis,Ficcion,Franz Kafka,Checo,3,14/03/2023,2004,125
Las virgenes suicidas,Drama,Jeffrey Eugenides,Estados Unidos,3,22/03/2023,2014,229
El quinto hijo,Drama,Doris Lessing,Reino Unido,4,25/03/2023,2007,424
Salem's Lot,Terror,Stephen King,Estados Unidos,4,12/04/2023,1991,483
Catedrales,Ficcion contemporanea,Claudia Piñeiro,Argentina,4,02/05/2023,2020,307
Mas liviano que el aire,Ficcion contemporanea,Federico Jeanmaire,Argentina,4,02/05/2023,2009,240
Psicosis,Thriller psicologico,Robert Bloch,Estados Unidos,4,06/05/2023,2010,192
Casas vacias,Ficcion contemporanea,Brenda Navarro,Mexico,4,04/06/2023,2018,209
Pura pasion,Ficcion autobiografica,Annie Ernaux,Francia,3,10/06/2023,1998,88
El acontecimiento,Ficcion autobiografica,Annie Ernaux,Francia,5,15/06/2023,2001,128
La vergüenza,Ficcion autobiografica,Annie Ernaux,Francia,4,15/06/2023,1999,136
El lugar,Ficcion autobiografica,Annie Ernaux,Francia,5,19/06/2023,2002,101
Abzurdah,Ficcion autobiografica,Cielo Latini,Argentina,2,19/06/2023,2006,290
Tokio blues: Norwegian Wood,Ficcion contemporanea ,Haruki Murakami,Japon,4,26/06/2023,2007,384
